task_id,task_identifier,task_app,task_app_CHN,adb_home_page,功能点,真机/模拟器,"level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）",golden_steps,goal,key_nodes,Reset
0,bili_3,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,,medium,5,打开B站搜索李健，看看图文栏下有哪些图片,"{""xpath"": ['''//*[contains(@text, ""李健"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]   and   //*[contains(@text, ""图文"") and @selected=""true""] ''' ]}",Search
,baidubrowser_13,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,设置,,medium,4,在百度浏览器打开无痕浏览模式,"{""xpath"": [''' //*[contains(@text, ""已开启无痕浏览"")  and contains(@resource-id, ""id/obfuscated"")] ''']} ###{""xpath"": [''' //*[contains(@text, ""退出无痕"")  and contains(@resource-id, ""id/obfuscated"")] ''']} ",
,articlenews_16,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,设置,,medium,5,去今日头条把自动开启阅读模式关掉,"{""xpath"": ['''//*[contains(@text, ""自动开启阅读模式"")]  and //*[contains(@text, ""关闭"") and contains(@class, ""Switch"")] ''' ]}",Need
,neteasemusic_28,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,,hard,7,打开网易云深色模式,"{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""开启""])]  and  //*[contains(@text, ""播放页常亮"") ] ''' ]}",Need
,baidubrowser_14,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,设置,,medium,4,设置百度浏览器为夜间模式,"{""xpath"": ['''//*[contains(@class, ""FrameLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""夜间模式"") ] ) ] ''']}###{""xpath"": [''' //*[contains(@text, ""日间模式"")  and contains(@resource-id, ""id/obfuscated"")] ''']} ",
0,bili_4,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,,easy,4,打开bilibili热搜榜单,"{""xpath"": ['''//*[contains(@text, ""B站热搜"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@resource-id, ""container_entrance"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""完整榜单"") ])   and (preceding-sibling::*[contains(@text, ""热搜"") ])   ]   ''']}",
,neteasemusic_7,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,,medium,5,网易云查查包含七里香的歌单有哪些,"{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""歌单"") ] ) ]  and //*[contains(@text, ""七里香"") ]  ''']}",Search
,articlenews_12,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,,hard,8,去今日头条更换头像，从默认头像的艺术类中选一个,"{""xpath"": ['''//*[contains(@text,""选择默认头像"")] and //*[contains(@text, ""艺术"")]    and  //*[contains(@text, ""选取"") and bbox_contains_point(@bounds,$point) ] ''' ]} ",Need
,neteasemusic_8,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,,hard,6,在网易云里找到歌手周杰伦的个人主页并关注他,"{""xpath"": ['''//*[contains(@text, ""周杰伦"")  and contains(@resource-id, ""id/nickname"") ]   and //*[contains(@text, ""已关注"")  and contains(@resource-id, ""id/followBtn"")]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""周杰伦"") ]   and //*[contains(@text, ""粉丝"") ] and //*[contains(@text, ""歌曲"") ]   and //*[contains(@text, ""乐迷团"") ]  ''' ]}",Need
0,bili_0,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,,easy,4,打开B站搜索喜羊羊与灰太狼,"{""xpath"": ['''//*[contains(@text, ""喜羊羊与灰太狼"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}",Search
,baidubrowser_17,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,设置,,hard,6,在百度浏览器关闭图片自动播放,"{""xpath"": [ '''  //*[@checkable=""true"" and @checked=""false"" and (preceding-sibling::*[contains(@text, ""图片自动播放"")  ])]''' ]}###{""xpath"": [''' //*[contains(@text, ""图片自动播放"")  and (bbox_contains_point(../@bounds,$point)or bbox_contains_point(../../@bounds,$point))] ''']}",
,articlenews_4,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,,hard,7,在今日头条上搜一下今天五粮液的股价,"{""xpath"": ['''//*[contains(@text, ""五粮液"") and contains(@text, ""搜索"") and contains(@text, ""股价"")] ''']}",
