agent,contrast,task,sr_ref,sr_treat,delta_sr,p_value,q_value,victim
qwen3-vl-plus,group:none,articlenews_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_15,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_3,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_13,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_22,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_29,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_5,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,rimet_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,wuba_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,wuba_21,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,wuba_26,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,wuba_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,wuba_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
