agent,contrast,task,sr_ref,sr_treat,delta_sr,p_value,q_value,victim
qwen3-vl-plus,C1_pollution_main,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,articlenews_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,articlenews_19,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,articlenews_4,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_14,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,baidubrowser_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,bili_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,bili_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_17,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_25,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_5,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,minimap_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_19,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,neteasemusic_8,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,pinduoduo_16,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,pinduoduo_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,rimet_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,rimet_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,rimet_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,rimet_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,rimet_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,seeyou_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,seeyou_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,seeyou_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,tonghuashun_27,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,tonghuashun_28,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,tonghuashun_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,tonghuashun_9,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_23,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C1_pollution_main,wuba_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,articlenews_4,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,baidubrowser_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,bili_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,bili_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_25,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,minimap_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,neteasemusic_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,pinduoduo_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,pinduoduo_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_12,0.0000,1.0000,+1.0000,1.000000,1.000000,0
