agent,contrast,task,sr_ref,sr_treat,delta_sr,p_value,q_value,victim
qwen3-vl-plus,C2_order_main,qq_1,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_11,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_1,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_11,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:reverse,qq_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_1,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_11,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
